what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1336580510511
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336580513303
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336580514848
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336580562292
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336580562307
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336580564975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336580569920
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336580573586
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336580574694
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336580574725
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336580594555
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336580594571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336580606411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336580607534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336580607581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336580643536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336580644191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336588942586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336588943568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336598119046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336598119140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336598120372
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336598120622
